city;longitude;latitude
Moscow;37.61556;55.75222
Saint Petersburg;30.31413;59.93863
Novosibirsk;82.9346;55.0415
Yekaterinburg;60.6122;56.8519
Nizhniy Novgorod;44.00205;56.32867
Samara;50.15;53.20007
Omsk;73.36859;54.99244
Kazan;49.12214;55.78874
Rostov-na-Donu;39.72328;47.23135
Chelyabinsk;61.42915;55.15402
Ufa;55.96779;54.74306
Volgograd;44.50183;48.71939
Perm;56.25017;58.01046
Krasnoyarsk;92.86717;56.01839
Saratov;46.00861;51.54056
Voronezh;39.1843;51.67204
Tol’yatti;49.3461;53.5303
Krasnodar;38.97603;45.04484
Ulyanovsk;48.38657;54.32824
Izhevsk;53.20448;56.84976
