city1;city2;distance
Moscow;Saint Petersburg;703.9845
Moscow;Novosibirsk;3344.7955
Moscow;Yekaterinburg;1784.3352
Moscow;Nizhniy Novgorod;420.8343
Moscow;Samara;1062.1381999999999
Moscow;Omsk;2701.1392
Moscow;Kazan;834.3915999999999
Moscow;Rostov-na-Donu;1077.8503
Moscow;Chelyabinsk;1881.5031000000001
Moscow;Ufa;1475.1669
Moscow;Volgograd;971.0105
Moscow;Perm;1429.1118999999999
Moscow;Krasnoyarsk;4119.3101
Moscow;Saratov;908.1016
Moscow;Voronezh;516.9171
Moscow;Tol’yatti;1009.4697
Moscow;Krasnodar;1348.2413999999999
Moscow;Ulyanovsk;877.15
Moscow;Izhevsk;1221.9695
Saint Petersburg;Moscow;709.0246999999999
Saint Petersburg;Novosibirsk;4052.4327999999996
Saint Petersburg;Yekaterinburg;2289.2399
Saint Petersburg;Nizhniy Novgorod;1127.9442
Saint Petersburg;Samara;1769.7755
Saint Petersburg;Omsk;3408.7765
Saint Petersburg;Kazan;1541.5015
Saint Petersburg;Rostov-na-Donu;1788.2422
Saint Petersburg;Chelyabinsk;2589.1403999999998
Saint Petersburg;Ufa;2069.9118
Saint Petersburg;Volgograd;1681.4024
Saint Petersburg;Perm;1934.0166000000002
Saint Petersburg;Krasnoyarsk;4826.9474
Saint Petersburg;Saratov;1618.4933999999998
Saint Petersburg;Voronezh;1227.3089
Saint Petersburg;Tol’yatti;1717.107
Saint Petersburg;Krasnodar;2058.6333
Saint Petersburg;Ulyanovsk;1584.7873
Saint Petersburg;Izhevsk;1929.0793999999999
Novosibirsk;Moscow;3340.6155
Novosibirsk;Saint Petersburg;4047.9951
Novosibirsk;Yekaterinburg;1590.2258
Novosibirsk;Nizhniy Novgorod;2848.4744
Novosibirsk;Samara;2335.4466
Novosibirsk;Omsk;642.7453
Novosibirsk;Kazan;2423.8752000000004
Novosibirsk;Rostov-na-Donu;3681.5733
Novosibirsk;Chelyabinsk;1459.5754
Novosibirsk;Ufa;1890.1362
Novosibirsk;Volgograd;3146.4374
Novosibirsk;Perm;1953.15
Novosibirsk;Krasnoyarsk;778.4804
Novosibirsk;Saratov;2774.4424
Novosibirsk;Voronezh;3227.111
Novosibirsk;Tol’yatti;2385.972
Novosibirsk;Krasnodar;3951.9645
Novosibirsk;Ulyanovsk;2468.4089
Novosibirsk;Izhevsk;2227.6137999999996
Yekaterinburg;Moscow;1789.0471
Yekaterinburg;Saint Petersburg;2291.2861000000003
Yekaterinburg;Novosibirsk;1588.3283999999999
Yekaterinburg;Nizhniy Novgorod;1434.1759
Yekaterinburg;Samara;960.1206999999999
Yekaterinburg;Omsk;946.5926999999999
Yekaterinburg;Kazan;1021.0271
Yekaterinburg;Rostov-na-Donu;2306.2475
Yekaterinburg;Chelyabinsk;213.7297
Yekaterinburg;Ufa;514.8103
Yekaterinburg;Volgograd;1771.1116000000002
Yekaterinburg;Perm;361.7019
Yekaterinburg;Krasnoyarsk;2362.843
Yekaterinburg;Saratov;1399.1165
Yekaterinburg;Voronezh;1851.7851
Yekaterinburg;Tol’yatti;1010.6460999999999
Yekaterinburg;Krasnodar;2576.6386
Yekaterinburg;Ulyanovsk;1093.083
Yekaterinburg;Izhevsk;636.1656999999999
Nizhniy Novgorod;Moscow;420.71540000000005
Nizhniy Novgorod;Saint Petersburg;1116.3986
